Id;Dato;Start;Slutt dato;Slutt;Plasser;Undform;Partinr;Aktivitet;Emne;Fagperson;Email;Tittel;Stedkode;Sted;Rom;Fag;Studentgr;Terminnr;
24V-SOS1100-1-1-2-7-1;07.03.2024;14:15;07.03.2024;16:00;18;SEM;7;Seminar 7;SOS1100;Kjos, Hannah Løke;;Stipendiat;185170700;SV-ISS;BL11150 Seminarrom 150;;622, 971, 2116, 2229, 4622, 5800, 5869, 6130;1;
24V-SGO2302-1-1-2-5-1;08.03.2024;10:15;08.03.2024;12:00;22;SEM;5;Group 5: Seminar group 5;SGO2302;Berg, Siri Adele Langaas;;;185170700;SV-ISS;BL11120 Seminarrom 120;;;1;
24V-SGO2100-1-1-2-2-1;08.03.2024;10:15;08.03.2024;12:00;22;SEM;2;Seminargruppe 2: ;SGO2100;Schnell, Alf Jørgen;;Stipendiat;185170700;SV-ISS;BL11114 Seminarrom 114;;;1;
24V-SGO2100-1-1-2-1-1;08.03.2024;10:15;08.03.2024;12:00;22;SEM;1;Seminargruppe 1: ;SGO2100;Star, Marieke Elisabeth van der;;Stipendiat;185170700;SV-ISS;BL11124 Seminarrom 124;;;1;
24V-SOS9006-1-1-1-2;08.03.2024;10:15;08.03.2024;18:15;20;HSEM;1;Heldagsseminar: Avhandlingsseminar: Mot levering ;SOS9006;Gugushvili, Alexi;;Professor;185170700;SV-ISS;;;;1;
24V-SOS9006-1-1-1-2;08.03.2024;10:15;08.03.2024;18:15;20;HSEM;1;Heldagsseminar: Avhandlingsseminar: Mot levering ;SOS9006;Gentile, Michael;;Professor;185170700;SV-ISS;;;;1;
24V-KULKOM3090-1-1-3-3-1;11.03.2024;08:15;11.03.2024;10:00;12;SEM;3;Seminargruppe 3;KULKOM3090;Storm-Mathisen, Frøja Isabella;;Stipendiat;185170700;SV-ISS;BL273528 Grupperom 8;;622, 1573, 2133, 2135, 5869, 6412;1;
24V-SOS4100-1-1-1-1;11.03.2024;08:15;11.03.2024;10:00;30;SEMFOR;;Forelesning og studentaktiviteter;SOS4100;Borgen, Solveig Topstad;;Postdoktor;185170700;SV-ISS;BL11301 Seminarrom 301;;4624, 5493;1;
24V-SVPRO4000-1-1-3-509;11.03.2024;09:15;11.03.2024;12:00;40;SEM-F;;Samling: Team og konflikthåndtering;SVPRO4000;Karlsen, Beate;;Førsteamanuensis;185170700;SV-ISS;BL11201 Seminarrom 201;;6139, 6564;1;
24V-SGO3090-1-1-2-3-1;11.03.2024;10:15;11.03.2024;12:00;12;SEM;3;Utvikling og politikk;SGO3090;Stokke, Kristian;;Professor;185170700;SV-ISS;BL273528 Grupperom 8;;;1;
24V-SGO3500-1-1-2-2-1;11.03.2024;10:15;11.03.2024;12:00;18;SEM;2;Seminar 2: ;SGO3500;Star, Marieke Elisabeth van der;;Stipendiat;185170700;SV-ISS;BL11132 Seminarrom 132;;5032, 5034, 5833;1;
24V-SOSGEO2800-1-1-1-501;11.03.2024;10:15;11.03.2024;12:00;130;FOR;;Forelesninger;SOSGEO2800;Midtbøen, Arnfinn Haagensen;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;622, 971, 2229, 4622, 5211, 5869, 5898;1;
24V-SGO3500-1-1-2-1-1;11.03.2024;12:15;11.03.2024;14:00;18;SEM;1;Seminar 1: ;SGO3500;Star, Marieke Elisabeth van der;;Stipendiat;185170700;SV-ISS;BL11140 Seminarrom 140;;5032, 5034, 5833;1;
24V-SGO2302-1-1-2-1-1;11.03.2024;12:15;11.03.2024;14:00;22;SEM;1;Group 1: Seminar group 1;SGO2302;Berg, Siri Adele Langaas;;;185170700;SV-ISS;BL273521 Grupperom 1;;1642, 5034, 5806;1;
24V-SGO3090-1-1-2-2-1;11.03.2024;14:15;11.03.2024;16:00;12;SEM;2;Miljø og økonomisk geografi;SGO3090;Sæther, Bjørnar;;Professor;185170700;SV-ISS;BL273528 Grupperom 8;;;1;
24V-SOS1100-1-1-1-1;11.03.2024;14:15;11.03.2024;16:00;141;FOR;;Forelesning;SOS1100;Flemmen, Magne Paalgard;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;622, 971, 2116, 2229, 4622, 5800, 5869, 6130;1;
24V-SGO2100-1-1-2-4-1;11.03.2024;14:15;11.03.2024;16:00;22;SEM;4;Seminargruppe 4: ;SGO2100;Sjøstedt, Tine Ellen;;;185170700;SV-ISS;BL11124 Seminarrom 124;;;1;
24V-SOSGEO1120-1-1-1-1;12.03.2024;08:15;12.03.2024;10:00;200;FOR;;Forelesning;SOSGEO1120;Nosrati, Elias;;;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;971, 1642, 1920, 2040, 2116, 2229, 4622, 5034, 5799, 5800, 5802, 5806, 5851, 6130, 6392, 6420, 6421;1;
24V-SOSGEO1120-1-1-1-1;12.03.2024;08:15;12.03.2024;10:00;200;FOR;;Forelesning;SOSGEO1120;Hermansen, Are Skeie;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;971, 1642, 1920, 2040, 2116, 2229, 4622, 5034, 5799, 5800, 5802, 5806, 5851, 6130, 6392, 6420, 6421;1;
24V-SOS2100-1-1-1-1;12.03.2024;10:15;12.03.2024;12:00;170;FOR;;Forelesning;SOS2100;Flemmen, Magne Paalgard;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;622, 971, 2116, 2229, 4622, 5800, 5869;1;
24V-SOS2402-1-1-1-1;12.03.2024;12:15;12.03.2024;14:00;70;FOR;;Lectures;SOS2402;Kristensen, Axel Peter;;Stipendiat;185170700;SV-ISS;BL09107 Auditorium 2;;622, 971, 2229, 5211, 5869;1;
24V-SGO3200-1-1-1-1;12.03.2024;12:15;12.03.2024;15:00;40;FOR;;Forelesning: ;SGO3200;Sæther, Bjørnar;;Professor;185170700;SV-ISS;BL273513 Undervisningsrom 3;;1642, 5032, 5034;1;
24V-SGO1004-1-1-1-1;13.03.2024;08:00;16.03.2024;12:00;50;FELL;;Ekskursjon: ;SGO1004;Herstad, Sverre Johan;;Professor;185170700;SV-ISS;;;5034;1;
24V-SGO2302-1-1-2-2-1;13.03.2024;08:15;13.03.2024;10:00;22;SEM;2;Group 2: Seminar group 2;SGO2302;Stout, Ole Ronel;;;185170700;SV-ISS;BL11124 Seminarrom 124;;1642, 5034, 5806;1;
24V-SGO2100-1-1-1-501;13.03.2024;10:15;13.03.2024;12:00;88;FOR;;Forelesning: ;SGO2100;Røe, Per Gunnar;;Professor;185170700;SV-ISS;BL13137 Auditorium 1;;5833;1;
24V-SOS4050-1-1-1-1;13.03.2024;10:15;13.03.2024;12:00;40;FOR;;Forelesning;SOS4050;Flemmen, Magne Paalgard;;Professor;185170700;SV-ISS;BL26209 Auditorium 209;;4624;1;
24V-SOS1100-1-1-2-1-1;13.03.2024;10:15;13.03.2024;12:00;18;SEM;1;Seminar 1;SOS1100;Abuzeid, Aseel Dima Jamale Ahmed;;;185170700;SV-ISS;BL11150 Seminarrom 150;;622, 971, 2116, 2229, 4622, 5800, 5869, 6130;1;
24V-SOSGEO4801-1-1-1-1;13.03.2024;12:15;13.03.2024;14:00;40;SEMFOR;;Forelesning og studentaktiviteter;SOSGEO4801;Stokke, Kristian;;Professor;185170700;SV-ISS;BL11201 Seminarrom 201;;4624, 5407;1;
24V-SOSGEO4801-1-1-1-1;13.03.2024;12:15;13.03.2024;14:00;40;SEMFOR;;Forelesning og studentaktiviteter;SOSGEO4801;Andersson, Mette;;Professor;185170700;SV-ISS;BL11201 Seminarrom 201;;4624, 5407;1;
24V-SOS2500-1-1-1-501;13.03.2024;12:15;13.03.2024;14:00;125;FOR;;Forelesninger;SOS2500;Grue, Jan;;Professor;185170700;SV-ISS;BL271501 Auditorium 1;;622, 971, 2229, 2328, 4622, 5869, 5898;1;
24V-SOS4200-1-1-2-1;13.03.2024;12:15;13.03.2024;14:00;40;SEM-F;;Seminarer;SOS4200;Byrkjeflot, Haldor;;Professor;185170700;SV-ISS;BL11101 Seminarrom 101;;4624, 6139, 6140, 6141, 6142, 6564;1;
24V-SOS4200-1-1-1-1;13.03.2024;14:15;13.03.2024;16:00;65;FOR;;Forelesninger;SOS4200;Byrkjeflot, Haldor;;Professor;185170700;SV-ISS;BL09113 Auditorium 4;;4624, 6139, 6140, 6141, 6142, 6564;1;
